Observation id	08.20.21_ Set 1_ Cage B_ 1_Mated							
								
Media file(s)								
								
Player #1	/Volumes/LaCie/08.20.21/Set 1/Cage B/1.mp4							
								
Observation date	2021-11-03 14:39:05							
								
Description								
								
Time offset (s)	0.0							
								
independent variables								
variable	value							
								
Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
97.924	/Volumes/LaCie/08.20.21/Set 1/Cage B/1.mp4	557.470	30.0	female	genital contact			START
109.523	/Volumes/LaCie/08.20.21/Set 1/Cage B/1.mp4	557.470	30.0	female	genital contact			STOP
497.857	/Volumes/LaCie/08.20.21/Set 1/Cage B/1.mp4	557.470	30.0	female	genital contact			START
505.359	/Volumes/LaCie/08.20.21/Set 1/Cage B/1.mp4	557.470	30.0	female	genital contact			STOP
