Observation id	09.07.21_ Cage 3_ 3_Virgin							
								
Media file(s)								
								
Player #1	/Volumes/LaCie/09.07.21/Cage 3/3.mp4							
								
Observation date	2022-01-06 17:02:36							
								
Description								
								
Time offset (s)	0.0							
								
independent variables								
variable	value							
								
Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
120.444	/Volumes/LaCie/09.07.21/Cage 3/3.mp4	510.930	30.0	female	genital contact			START
140.194	/Volumes/LaCie/09.07.21/Cage 3/3.mp4	510.930	30.0	female	genital contact			STOP
