Observation id	09.07.21_ Cage 4_ 2_Mated							
								
Media file(s)								
								
Player #1	/Volumes/LaCie/09.07.21/Cage 4/2.mp4							
								
Observation date	2022-01-07 17:09:11							
								
Description								
								
Time offset (s)	0.0							
								
independent variables								
variable	value							
								
Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
130.222	/Volumes/LaCie/09.07.21/Cage 4/2.mp4	516.130	30.0	female	genital contact			START
135.318	/Volumes/LaCie/09.07.21/Cage 4/2.mp4	516.130	30.0	female	genital contact			STOP
363.517	/Volumes/LaCie/09.07.21/Cage 4/2.mp4	516.130	30.0	female	genital contact			START
375.513	/Volumes/LaCie/09.07.21/Cage 4/2.mp4	516.130	30.0	female	genital contact			STOP
