Observation id	09.13.21_ Cage Wo_ 2_Virgin							
								
Media file(s)								
								
Player #1	/Volumes/LaCie/09.13.21/Cage Wo/2.mp4							
								
Observation date	2022-01-10 12:48:54							
								
Description								
								
Time offset (s)	0.0							
								
independent variables								
variable	value							
								
Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
99.167	/Volumes/LaCie/09.13.21/Cage Wo/2.mp4	522.100	30.0	female	mating			START
113.160	/Volumes/LaCie/09.13.21/Cage Wo/2.mp4	522.100	30.0	female	mating			STOP
