Observation id	09.14.21_ Cage Tsom_ 4_Virgin							
								
Media file(s)								
								
Player #1	/Volumes/LaCie/09.14.21/Cage Tsom/4.mp4							
								
Observation date	2022-05-25 16:48:18							
								
Description								
								
Time offset (s)	0.0							
								
independent variables								
variable	value							
								
Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
225.877	/Volumes/LaCie/09.14.21/Cage Tsom/4.mp4	532.600	30.0	female	mating			START
243.371	/Volumes/LaCie/09.14.21/Cage Tsom/4.mp4	532.600	30.0	female	mating			STOP
